,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
786882,for_sale,799000,1,1,,"307 W 82nd St Apt C, New York, NY, 10024",307 W 82nd St,New York,New York,10024,,
849455,for_sale,795000,3,2,0.09,"238 Jerome Ave, Staten Island, NY, 10305",238 Jerome Ave,Staten Island,New York,10305,2244,9/5/90
813393,for_sale,899999,4,3,0.14,"180 Jefferson Ave, Staten Island, NY, 10306",180 Jefferson Ave,Staten Island,New York,10306,1713,4/29/08
824655,for_sale,1999000,2,2,,"1600 Broadway Apt 5G, New York City, NY, 10019",1600 Broadway,New York City,New York,10019,1400,7/1/15
838794,for_sale,689000,2,2,,"102 Bradhurst Ave Apt 206, Manhattan, NY, 10039",102 Bradhurst Ave,Manhattan,New York,10039,,
470170,for_sale,2750000,3,3,,"116 W 76th St Apt 3R, New York, NY, 10023",116 W 76th St,New York,New York,10023,,
574600,for_sale,750000,5,3,0.05,"Washington Ave, Bronx, NY, 10457",Washington Ave,Bronx,New York,10457,,12/15/94
795504,for_sale,595000,,1,,"405 E 63rd St Apt 1E, New York City, NY, 10065",405 E 63rd St,New York City,New York,10065,713,
527506,for_sale,799000,,,,"10 Patti Ln, Yonkers, NY, 10701",10 Patti Ln,Yonkers,New York,10701,,12/1/17
834906,for_sale,1238000,6,2,0.06,"22-18 127 St, College Point, NY, 11356",22-18 127 St,College Point,New York,11356,,10/21/11
788275,for_sale,1500000,6,3,0.06,"104-32 164th Pl, Jamaica, NY, 11433",104-32 164th Pl,Jamaica,New York,11433,1980,12/28/04
841528,for_sale,730000,1,1,,"97 Grattan St Unit 2D, New York City, NY, 11237",97 Grattan St,New York City,New York,11237,,
900827,for_sale,950000,4,2,0.05,"30 Jewell McKoy Ln, Brooklyn, NY, 11213",30 Jewell McKoy Ln,Brooklyn,New York,11213,1452,4/30/85
507871,for_sale,879000,2,2,,"1131 Shore Pkwy Unit Townhouse, Brooklyn, NY, 11214",1131 Shore Pkwy Unit Townhouse,Brooklyn,New York,11214,986,
757928,for_sale,1198000,2,3,0.12,"34 Center Dr, Malba, NY, 11357",34 Center Dr,Malba,New York,11357,,
510264,for_sale,199000,,,0.07,"49 Northfield Ave, Staten Island, NY, 10303",49 Northfield Ave,Staten Island,New York,10303,1248,1/15/02
567811,for_sale,185000,1,1,,"188 Garth Rd Apt 5U, Scarsdale, NY, 10583",188 Garth Rd,Scarsdale,New York,10583,750,
787666,for_sale,549000,2,1,,"1513 Bergen St Apt 203, Crown Heights, NY, 11213",1513 Bergen St,Crown Heights,New York,11213,,10/24/12
814912,for_sale,900000,1,1,,"80 Lefferts Pl Apt 1B, Brooklyn, NY, 11238",80 Lefferts Pl,Brooklyn,New York,11238,788,
833264,for_sale,489000,1,1,,"268 E 4th St Apt 3C, New York City, NY, 10009",268 E 4th St,New York City,New York,10009,,10/30/14
773032,for_sale,2250000,4,5,,"451 Hancock St, Brooklyn, NY, 11233",451 Hancock St,Brooklyn,New York,11233,2160,10/25/19
541061,for_sale,105000,1,1,,"161 Pearsall Dr Apt 5G, Mount Vernon, NY, 10552",161 Pearsall Dr,Mount Vernon,New York,10552,600,
865450,for_sale,760000,1,1,,"245 E 25th St Apt 3A, New York City, NY, 10010",245 E 25th St,New York City,New York,10010,,4/16/19
819953,for_sale,599000,2,1,,"623 Avenue H Unit 2B, New York, NY, 11230",623 Avenue H,New York,New York,11230,,
554295,for_sale,44900,1,1,,"615 Warburton Ave Apt 6D, Yonkers, NY, 10701",615 Warburton Ave,Yonkers,New York,10701,800,
914771,for_sale,249888,2,1,,"204-15 Foothill Ave Unit B76, Hollis, NY, 11423",204-15 Foothill Ave,Hollis,New York,11423,,3/11/16
747028,for_sale,750000,3,3,0.05,"91-41 79th St, Woodhaven, NY, 11421",91-41 79th St,Woodhaven,New York,11421,,12/13/05
814568,for_sale,2595000,3,3,0.48,"180 E 79th St Apt 10E, New York City, NY, 10075",180 E 79th St,New York City,New York,10075,,
885534,for_sale,1095000,1,1,,"127 W 79th St Unit 16D, Manhattan, NY, 10024",127 W 79th St,Manhattan,New York,10024,,
528141,for_sale,850000,2,2,,"150 E 49th St Unit 3C, New York City, NY, 10017",150 E 49th St,New York City,New York,10017,,
822473,for_sale,449000,2,2,,"87-26 175th St Unit 5A, Jamaica, NY, 11432",87-26 175th St,Jamaica,New York,11432,,12/5/14
724523,for_sale,825000,3,4,0.05,"446 Robinson Ave, Staten Island, NY, 10312",446 Robinson Ave,Staten Island,New York,10312,1488,
717389,for_sale,685000,,1,,"25 Minetta Ln Apt 5K, New York City, NY, 10012",25 Minetta Ln,New York City,New York,10012,600,12/30/11
910290,for_sale,748680,,2,,"702 Ocean Pkwy, Kensington, NY, 11230",702 Ocean Pkwy,Kensington,New York,11230,1561,
767814,for_sale,425000,1,1,,"448 E 84th St Apt 5D, New York City, NY, 10028",448 E 84th St Apt 5D,New York City,New York,10028,,
919171,for_sale,199900,,,1.94,"56 MI Anna Dr, Mahopac, NY, 10541",56 MI Anna Dr,Mahopac,New York,10541,,
804255,for_sale,3350000,1,1,,"52 Morton St Apt 2, New York City, NY, 10014",52 Morton St,New York City,New York,10014,,
907538,for_sale,475000,3,3,,"17 Clearwater Ct, Beacon, NY, 12508",17 Clearwater Ct,Beacon,New York,12508,2008,10/31/07
481221,for_sale,750000,2,1,,"85 First Ave Unit 7B, New York, NY, 10003",85 First Ave,New York,New York,10003,,
513387,for_sale,549000,3,2,0.09,"1619 Harding Park, Bronx, NY, 10473",1619 Harding Park,Bronx,New York,10473,1155,9/23/19
485000,for_sale,625000,2,2,,"43-18 Robinson St Unit 2A, Flushing, NY, 11355",43-18 Robinson St,Flushing,New York,11355,706,1/13/10
548442,for_sale,858000,3,3,0.1,"14 Wadsworth Ave, Staten Island, NY, 10305",14 Wadsworth Ave,Staten Island,New York,10305,1860,9/1/04
536971,for_sale,155000,1,1,,"96 Underhill Ave Apt 1A, Harrison, NY, 10604",96 Underhill Ave,Harrison,New York,10604,800,
771865,for_sale,449000,1,1,,"130 Lenox Ave Unit 707, New York City, NY, 10026",130 Lenox Ave,New York City,New York,10026,750,
482614,for_sale,3795000,2,3,,"543 Broadway Apt 6, New York, NY, 10012",543 Broadway,New York,New York,10012,2300,3/2/11
488198,for_sale,220000,,1,,"35-21 79 St Unit 3L, Jackson Heights, NY, 11372",35-21 79 St,Jackson Heights,New York,11372,,
565455,for_sale,2795000,3,3,,"285 W 110th St Apt 7B, New York City, NY, 10026",285 W 110th St,New York City,New York,10026,1608,
556894,for_sale,695000,2,2,,"110 45 Queens Blvd Unit 705, Queens, NY, 11375",110 45 Queens Blvd,Queens,New York,11375,1300,
465703,for_sale,2749000,4,5,,"5 Hampton Pl, New York City, NY, 11213",5 Hampton Pl,New York City,New York,11213,3396,11/27/18
506060,for_sale,399000,,1,,"5 Tudor City Pl Apt 621, Manhattan, NY, 10017",5 Tudor City Pl,Manhattan,New York,10017,,
797682,for_sale,499000,2,3,0.08,"1324 Eastern Pkwy, Brooklyn, NY, 11233",1324 Eastern Pkwy,Brooklyn,New York,11233,1200,11/25/88
767788,for_sale,1095000,2,1,,"231 W 21st St Apt 5B, New York, NY, 10011",231 W 21st St,New York,New York,10011,,5/26/05
844574,for_sale,215000,2,1,,"New York City, NY, 11229",,New York City,New York,11229,870,
771144,for_sale,790000,1,1,,"360 E 72nd St Apt A404, New York, NY, 10021",360 E 72nd St,New York,New York,10021,650,3/12/19
549099,for_sale,895000,1,1,,"310 E 46th St Apt 8G, New York, NY, 10017",310 E 46th St,New York,New York,10017,,
527594,for_sale,635000,2,1,,"549 W 123rd St Apt 12C, New York, NY, 10027",549 W 123rd St,New York,New York,10027,950,
820855,for_sale,1750000,2,2,,"580 Carroll St Apt 3C, Brooklyn, NY, 11215",580 Carroll St,Brooklyn,New York,11215,1270,1/10/13
745515,for_sale,2850000,2,2,,"421 W 54th St Apt 4C, New York, NY, 10019",421 W 54th St,New York,New York,10019,1912,7/2/08
551577,for_sale,9500000,3,3,,"7 Bond St Ph 6CD, New York, NY, 10012",7 Bond St,New York,New York,10012,3066,
895009,for_sale,330000,1,1,,"110-11 Queens Blvd Unit 5N, Forest Hills, NY, 11375",110-11 Queens Blvd,Forest Hills,New York,11375,,
741360,for_sale,2700000,5,4,,"371 Jefferson Ave, New York City, NY, 11221",371 Jefferson Ave,New York City,New York,11221,3000,
527007,for_sale,1775000,2,3,,"1065 Park Ave Unit 3A, New York, NY, 10128",1065 Park Ave,New York,New York,10128,,
800769,for_sale,6250000,4,4,,"322 E 69th St, New York City, NY, 10021",322 E 69th St,New York City,New York,10021,2980,6/5/06
492964,for_sale,4240000,2,3,,"30 Riverside Blvd Apt 35C, New York, NY, 10069",30 Riverside Blvd,New York,New York,10069,1569,
557896,for_sale,18930000,3,4,,"217 W 57th St Apt 91W, New York, NY, 10019",217 W 57th St,New York,New York,10019,3073,
829611,for_sale,450000,2,2,,"63-84 Saunders St Unit 4J, Rego Park, NY, 11374",63-84 Saunders St,Rego Park,New York,11374,1150,
796139,for_sale,3500000,,4,0.04,"666 10th St, Brooklyn, NY, 11215",666 10th St,Brooklyn,New York,11215,3312,
900051,for_sale,1795000,2,2,,"35 Park Ave Apt 16G, New York, NY, 10016",35 Park Ave,New York,New York,10016,,6/9/17
460426,for_sale,549900,,2,3.01,"5603 Route 22, Northeast, NY, 12546",5603 Route 22,Northeast,New York,12546,4512,
745576,for_sale,282000,,1,,"42-65 Kissena Blvd Unit 210, Flushing, NY, 11355",42-65 Kissena Blvd,Flushing,New York,11355,550,
750931,for_sale,249000,2,2,,"151-25 88th St Unit 6K, Howard Beach, NY, 11414",151-25 88th St,Howard Beach,New York,11414,,
504837,for_sale,599999,3,2,0.06,"356 Stobe Ave, Staten Island, NY, 10306",356 Stobe Ave,Staten Island,New York,10306,1148,
783961,for_sale,648000,2,1,,"109-14 Ascan Ave Unit 6B, Forest Hills, NY, 11375",109-14 Ascan Ave,Forest Hills,New York,11375,1300,11/30/11
871608,for_sale,1150000,1,1,,"201 W 70th St Apt 26G, New York City, NY, 10023",201 W 70th St,New York City,New York,10023,,3/14/16
571200,for_sale,550000,3,2,,"651 E 231st St, New York City, NY, 10466",651 E 231st St,New York City,New York,10466,2000,6/19/97
66301,for_sale,169500,3,2,1.7,"38 Adams Crossing Rd, New Lebanon, NY, 12062",38 Adams Crossing Rd,New Lebanon,New York,12062,1160,2/3/03
858326,for_sale,299000,1,1,,"9323 Shore Rd Apt 6G, Brooklyn, NY, 11209",9323 Shore Rd,Brooklyn,New York,11209,600,3/22/11
825617,for_sale,798888,3,1,0.04,"63-46 Pleasantview St, Middle Village, NY, 11379",63-46 Pleasantview St,Middle Village,New York,11379,,7/28/87
802932,for_sale,5495000,5,5,0.05,"243 E 48th St, New York City, NY, 10017",243 E 48th St,New York City,New York,10017,3850,
484785,for_sale,449000,1,1,,"4501 Broadway Apt 2H, New York City, NY, 10040",4501 Broadway,New York City,New York,10040,,11/19/07
509516,for_sale,949000,2,1,,"870 Riverside Dr Apt 7B, New York, NY, 10032",870 Riverside Dr,New York,New York,10032,1300,1/3/11
546699,for_sale,565000,3,2,0.23,"19 Crestwood Dr, New City, NY, 10956",19 Crestwood Dr,New City,New York,10956,1816,
916780,for_sale,219995,1,1,,"3125 Tibbett Ave Apt 4E, Bronx, NY, 10463",3125 Tibbett Ave,Bronx,New York,10463,700,
817078,for_sale,398000,,1,,"243 W End Ave Apt 714, New York, NY, 10023",243 W End Ave,New York,New York,10023,,7/21/17
737084,for_sale,285000,2,1,,"225-08 Stronghurst Ave Unit Upper, Queens Village, NY, 11427",225-08 Stronghurst Ave,Queens Village,New York,11427,,
906960,for_sale,1298000,5,5,1.18,"143 Midland Ave, Tarrytown, NY, 10591",143 Midland Ave,Tarrytown,New York,10591,4556,
844971,for_sale,600000,1,1,,"429 W 24th St Apt 2A, New York, NY, 10011",429 W 24th St,New York,New York,10011,650,10/31/07
736058,for_sale,1695000,2,3,0.04,"182-34 Hillside Ave, Jamaica, NY, 11432",182-34 Hillside Ave,Jamaica,New York,11432,,9/22/17
489614,for_sale,995000,5,3,0.06,"66-32 52DR, Maspeth, NY, 11378",66-32 52DR,Maspeth,New York,11378,2000,
870796,for_sale,1650000,1,2,,"935 Pacific St Apt 103, New York, NY, 11238",935 Pacific St,New York,New York,11238,1331,7/9/09
816080,for_sale,595000,,1,,"55 Wall St Apt 708, New York, NY, 10005",55 Wall St,New York,New York,10005,659,1/17/08
565785,for_sale,365000,2,2,,"3636 Greystone Ave Apt 6L, Bronx, NY, 10463",3636 Greystone Ave,Bronx,New York,10463,1100,1/14/08
797945,for_sale,640000,,1,,"210 E 15th St Apt 4K, New York City, NY, 10003",210 E 15th St,New York City,New York,10003,600,8/16/16
910974,for_sale,1199000,1,1,,"200 Central Park S Apt 3F, New York, NY, 10019",200 Central Park S,New York,New York,10019,,5/6/14
539700,for_sale,3550000,3,2,,"429 Greenwich St Apt 2A, New York, NY, 10013",429 Greenwich St,New York,New York,10013,2292,1/7/09
888338,for_sale,1350000,1,2,,"135 W 70th St Apt 9H, New York, NY, 10023",135 W 70th St,New York,New York,10023,900,6/17/99
791755,for_sale,228000,,1,,"99-21 67 Rd Unit 6K, Forest Hills, NY, 11375",99-21 67 Rd,Forest Hills,New York,11375,,6/25/08
513875,for_sale,2425000,6,7,,"912 St Nicholas Ave, New York City, NY, 10032",912 St Nicholas Ave,New York City,New York,10032,4000,3/22/18
841648,for_sale,950000,6,2,0.07,"169 Jamaica Ave, Brooklyn, NY, 11207",169 Jamaica Ave,Brooklyn,New York,11207,,1/10/18
