,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
824856,for_sale,1300000.0,4.0,2.0,,"76-05 266th St, New Hyde Park, NY, 11040",76-05 266th St,New Hyde Park,New York,11040.0,,
514434,for_sale,2450000.0,4.0,4.0,0.04,"459 Prospect Ave, New York City, NY, 11215",459 Prospect Ave,New York City,New York,11215.0,2376.0,
531336,for_sale,3300000.0,2.0,2.0,,"925 Park Ave Unit 2A, New York City, NY, 10028",925 Park Ave Unit 2A,New York City,New York,10028.0,,2005-04-05
563420,for_sale,560000.0,1.0,1.0,,"13 W 13th St Apt 1CS, New York, NY, 10011",13 W 13th St Apt 1CS,New York,New York,10011.0,,2018-05-09
848876,for_sale,1395000.0,2.0,2.0,,"17 E 89th St Unit 7E, New York, NY, 10128",17 E 89th St Unit 7E,New York,New York,10128.0,,2007-10-25
916308,for_sale,1895000.0,2.0,3.0,,"600 W 111th St Unit 12E, New York, NY, 10025",600 W 111th St Unit 12E,New York,New York,10025.0,,
876561,for_sale,650000.0,2.0,2.0,0.34,"35-06 Leavitt St Unit 2E, Flushing, NY, 11354",35-06 Leavitt St Unit 2E,Flushing,New York,11354.0,,2008-03-14
751167,for_sale,2495000.0,4.0,2.0,,"37 Riverside Dr Unit 1AB, New York, NY, 10023",37 Riverside Dr Unit 1AB,New York,New York,10023.0,,2014-09-04
499501,for_sale,239000.0,1.0,1.0,0.02,"156 Bard Ave Apt 12A, Staten Island, NY, 10310",156 Bard Ave Apt 12A,Staten Island,New York,10310.0,735.0,
815210,for_sale,2085000.0,2.0,2.0,,"121 E 23rd St Apt 9A, New York, NY, 10010",121 E 23rd St Apt 9A,New York,New York,10010.0,,2017-06-21
842519,for_sale,1599000.0,2.0,1.0,,"111 Morton St Apt 3A, New York, NY, 10014",111 Morton St Apt 3A,New York,New York,10014.0,,2018-01-04
764874,for_sale,489999.0,3.0,3.0,,"1031 E 86th St Apt 3, Brooklyn, NY, 11236",1031 E 86th St Apt 3,Brooklyn,New York,11236.0,1898.0,2004-09-27
877563,for_sale,1450000.0,5.0,4.0,,"444 Kosciuszko St, New York City, NY, 11221",444 Kosciuszko St,New York City,New York,11221.0,2733.0,
