Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
55270674,09/01/2022 12:00:17 AM,09/01/2022 12:09:39 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11235,3059 BRIGHTON SEVENTH STREET,BRIGHTON SEVENTH STREET,OCEAN VIEW AVENUE,BRIGHTON    8 STREET,OCEAN VIEW AVENUE,BRIGHTON    8 STREET,ADDRESS,BROOKLYN,BRIGHTON    7 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:09:46 AM,13 BROOKLYN,BROOKLYN,995123,150067,Unspecified,BROOKLYN,,,,,,,,40.57856861343029,-73.96085833973869,"(40.57856861343029, -73.96085833973869)"
55266728,09/01/2022 12:02:45 AM,09/01/2022 12:16:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11215,629 5 AVENUE,5 AVENUE,17 STREET,18 STREET,17 STREET,18 STREET,ADDRESS,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:16:58 AM,07 BROOKLYN,BROOKLYN,986643,180936,Unspecified,BROOKLYN,,,,,,,,40.663303920904156,-73.99137450806292,"(40.663303920904156, -73.99137450806292)"
55273044,09/01/2022 12:03:30 AM,09/01/2022 12:09:19 AM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11235,3057 BRIGHTON    7 STREET,BRIGHTON    7 STREET,OCEAN VIEW AVENUE,BRIGHTON    8 STREET,OCEAN VIEW AVENUE,BRIGHTON    8 STREET,ADDRESS,BROOKLYN,BRIGHTON    7 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:09:22 AM,13 BROOKLYN,BROOKLYN,995119,150079,Unspecified,BROOKLYN,,,,,,,,40.57860155596734,-73.9608727200218,"(40.57860155596734, -73.9608727200218)"
55265076,09/01/2022 12:06:32 AM,09/01/2022 01:02:21 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10033,WADSWORTH AVENUE,WADSWORTH AVENUE,WADSWORTH AVENUE,WEST  184 STREET,WADSWORTH AVENUE,WEST  184 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:02:24 AM,12 MANHATTAN,MANHATTAN,1002601,249551,Unspecified,MANHATTAN,,,,,,,,40.85161574773028,-73.93366713695104,"(40.85161574773028, -73.93366713695104)"
55267432,09/01/2022 12:07:23 AM,09/01/2022 01:03:05 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11207,651 VERMONT STREET,VERMONT STREET,RIVERDALE AVENUE,NEW LOTS AVENUE,RIVERDALE AVENUE,NEW LOTS AVENUE,ADDRESS,BROOKLYN,VERMONT STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/01/2022 01:03:09 AM,05 BROOKLYN,BROOKLYN,1014313,180925,Unspecified,BROOKLYN,,,,,,,,40.663223013863806,-73.89163898232238,"(40.663223013863806, -73.89163898232238)"
55268647,09/01/2022 12:07:31 AM,09/01/2022 01:04:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11205,131 HALL STREET,HALL STREET,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,HALL STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 01:04:52 AM,02 BROOKLYN,BROOKLYN,993673,192141,Unspecified,BROOKLYN,,,,,,,,40.69405441606838,-73.96601943230962,"(40.69405441606838, -73.96601943230962)"
55270673,09/01/2022 12:13:50 AM,09/01/2022 12:35:37 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10455,712 FOX STREET,FOX STREET,LEGGETT AVENUE,EAST  156 STREET,LEGGETT AVENUE,EAST  156 STREET,ADDRESS,BRONX,FOX STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:35:42 AM,02 BRONX,BRONX,1012143,236104,Unspecified,BRONX,,,,,,,,40.81468264138027,-73.89923186786936,"(40.81468264138027, -73.89923186786936)"
55268196,09/01/2022 12:16:28 AM,09/01/2022 12:54:08 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10016,MT CARMEL PLACE,MT CARMEL PLACE,EAST   27 STREET,MT CARMEL PLACE,EAST   27 STREET,MT CARMEL PLACE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/01/2022 12:54:12 AM,06 MANHATTAN,MANHATTAN,990420,208829,Unspecified,MANHATTAN,,,,,,,,40.739861837966735,-73.97773487809451,"(40.739861837966735, -73.97773487809451)"
55269429,09/01/2022 12:16:39 AM,09/01/2022 12:37:27 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,56 WEST  125 STREET,WEST  125 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  125 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:37:33 AM,10 MANHATTAN,MANHATTAN,999673,233388,Unspecified,MANHATTAN,,,,,,,,40.8072585494072,-73.94428805388517,"(40.8072585494072, -73.94428805388517)"
55265838,09/01/2022 12:20:32 AM,09/01/2022 12:27:05 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,605 RIVERSIDE DRIVE,RIVERSIDE DRIVE,WEST  137 STREET,WEST  138 STREET,WEST  137 STREET,WEST  138 STREET,ADDRESS,NEW YORK,RIVERSIDE DRIVE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/01/2022 12:27:08 AM,09 MANHATTAN,MANHATTAN,996467,238979,Unspecified,MANHATTAN,,,,,,,,40.82260929374083,-73.95585879265833,"(40.82260929374083, -73.95585879265833)"
